State,Area,Address,Store Name,Rating,Review Count,Store Status
Johor,Mersing,"Address: Lot 154, Terminal Ferry Tanjung Leman, 86800 Tanjung Leman, 86810 Mersing, Johor ",KFC Tanjung Leman Kiosk,4.1,(325),No status
Johor,Tenggara,"Address: Lot 42, 43, Jalan 4/1, Taman Anggerik, 81440 Bandar Tenggara, Johor ",KFC Bandar Tenggara,3.8,(836),Operating
Johor,Kota Tinggi,"Address: 91, 86000 Kluang, Johor ",KFC SERI IMPIAN KLUANG DT,3.8,(567),No status
Johor,Kota Tinggi,"Address: Ground & First Floor, 37, Jalan Mawai, Bandar Kota Tinggi, 81900 Kota Tinggi, Johor Darul Ta'zim ",KFC Kota Tinggi,3.9,(779),Operating
Johor,Kota Tinggi,"Address: Lot 42, 43, Jalan 4/1, Taman Anggerik, 81440 Bandar Tenggara, Johor ",KFC Bandar Tenggara,3.8,(836),No status
Johor,Kota Tinggi,"Address: KIP Mart, Lot DC01, FC001 & FC002, Jalan Maju, Taman Mawai Jaya, 81900 Kota Tinggi, Johor Darul Ta'zim ",KFC KIP Mart Kota Tinggi,3.2,(22),No status
Johor,Pengerang,"Address: 95, Jalan Jelutong 1 Taman Desaru Utama Bandar Penawar, 81930 Kota Tinggi, Johor Darul Ta'zim ",KFC Desaru,3.7,"(1,251)",No status
Johor,Pengerang,"Address: Sebahagian PTB 23174, Jalan Ibrahim Sultan, Mukim Bandar, 80300 Johor Bahru, Johor ",KFC Stulang Laut,4.1,"(3,214)",Operating
Johor,Pengerang,"Address: Ground & First Floor, 37, Jalan Mawai, Bandar Kota Tinggi, 81900 Kota Tinggi, Johor Darul Ta'zim ",KFC Kota Tinggi,3.9,(779),Operating
Johor,Pengerang,"Address: PTB 23183, Mukim, Jalan Sungai Chat, Sri Gelam, 80100 Johor Bahru, Johor ",KFC Seri Gelam DT,3.9,"(1,922)",Operating
Johor,Pengerang,"Address: Lot No PTD 171205 Bandar Dato Onn Mukim, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC Petron Dato Onn DT,3.4,(625),No status
Johor,Pengerang,"Address: 96, Jalan Dedap 4, Taman Johor Jaya, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC Johor Jaya,3.4,(431),No status
Johor,Pengerang,"Address: Lot 590, 591, Persisiran Perling, Taman Perling, 81200 Johor Bahru, Johor ",KFC Taman Perling DT,3.7,"(1,792)",Operating
Johor,Pengerang,"Address: PTD 210469, Bandar Seri Alam, 81700 Johor Bahru, Johor ",KFC Seri Alam DT,3.7,"(1,384)",Operating
Johor,Pengerang,"Address: HS(D, Petron Sungai Rengit, Jalan Besar, Sungai Rengit, Lot PTB 69, 33210, Mukim, Daerah, 81600 Pengerang, Johor Darul Ta'zim ",KFC PETRON PENGERANG,3.5,(478),No status
Johor,Pengerang,"Address: 91 & 92, Jln Besar, Rengit, 83100 Rengit, Johor Darul Ta'zim ",KFC Rengit,3.9,(409),No status
Johor,Tebrau,"Address: Lot PTD 113519, Taman Puteri Wangsa, 81800 Johor Bahru, Johor ",KFC Puteri Wangsa DT,4.0,"(1,524)",Operating
Johor,Tebrau,"Address: Lot L2-108, Level 2, Toppen Shopping Centre, Taman Desa Tebrau, 81100 Johor Bahru, Johor ",KFC Toppen Mall,2.3,(92),No status
Johor,Tebrau,"Address: Sebahagian PTB 23174, Jalan Ibrahim Sultan, Mukim Bandar, 80300 Johor Bahru, Johor ",KFC Stulang Laut,4.1,"(3,214)",Operating
Johor,Tebrau,"Address: 96, Jalan Dedap 4, Taman Johor Jaya, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC Johor Jaya,3.4,(431),No status
Johor,Tebrau,"Address: Lot No PTD 171205 Bandar Dato Onn Mukim, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC Petron Dato Onn DT,3.4,(625),No status
Johor,Tebrau,"Address: Lot S-45, 2nd Floor, Aeon Tebrau City Shopping Centre, Persiaran Desa Tebrau, Taman Desa Tebrau, 81100 Johor Bahru, Johor ",KFC AEON Tebrau City,2.5,(262),No status
Johor,Pasir Gudang,"Address: Plot 1, Block C, Jalan, Persiaran Dahlia 2, Taman Bukit Dahlia, 81200 Pasir Gudang, Johor ",KFC Pasir Gudang DT,3.8,"(1,427)",Operating
Johor,Pasir Gudang,"Address: Level 3-27B, Level 3, Kompleks Pusat Bandar, Kawasan Perindustrian Pasir Gudang, 81200 Pasir Gudang, Johor ",KFC Pasir Gudang,3.8,(153),No status
Johor,Pasir Gudang,"Address: No. 13A &, 13B, Jln Ekoperniagaan 7, Taman Kota Masai, 81700 Pasir Gudang, Johor ",KFC KOTA MASAI,3.8,(336),Operating
Johor,Pasir Gudang,"Address: No 17-19, 17-19, Jalan Intan 13, Taman Cahaya Masai, 81700 Pasir Gudang, Johor ",KFC Taman Cahaya Masai,4.0,(625),No status
Johor,Pasir Gudang,"Address: Lot 72090, Taman Cahaya Masai, 81700 Pasir Gudang, Johor ",KFC- Petron Taman Cahaya Masai,3.8,(117),No status
Johor,Johor Bahru,"Address: Jb Sentral, Lot 3 & 7 Main, 80000 Johor Bharu, Johor ",KFC JB Sentral,2.5,(267),Operating
Johor,Johor Bahru,"Address: Sebahagian PTB 23174, Jalan Ibrahim Sultan, Mukim Bandar, 80300 Johor Bahru, Johor ",KFC Stulang Laut,4.1,"(3,214)",Operating
Johor,Johor Bahru,"Address: PTB 23183, Mukim, Jalan Sungai Chat, Sri Gelam, 80100 Johor Bahru, Johor ",KFC Seri Gelam DT,3.9,"(1,922)",Operating
Johor,Johor Bahru,"Address: PTD 103231, Taman Impian Senai, Mukim Senai, 81400 Daerah Kulai Jaya, Johor ",KFC Senai Impian Johor Drive Thru,3.8,"(1,465)",No status
Johor,Johor Bahru,"Address: 6, Jalan Setia Tropika 1/21, Taman Setia Tropika, 81200 Johor Bahru, Johor Darul Ta'zim ",KFC Setia Tropika DT,3.5,"(1,449)",No status
Johor,Johor Bahru,"Address: 96, Jalan Dedap 4, Taman Johor Jaya, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC Johor Jaya,3.4,(431),No status
Johor,Johor Bahru,"Address: Lot 590, 591, Persisiran Perling, Taman Perling, 81200 Johor Bahru, Johor ",KFC Taman Perling DT,3.7,"(1,792)",Operating
Johor,Johor Bahru,"Address: Lot 413, Jalan Tampoi, Taman Damansara Aliff, 81200 Johor Bahru, Johor Darul Ta'zim ",KFC Damansara Aliff DT,4.0,"(1,469)",Operating
Johor,Johor Bahru,"Address: No. G53, Ground Floor, AEON Mall, Kulai Jaya, 81000 Kulai, Johor ",KFC AEON Kulaijaya,3.3,(327),No status
Johor,Johor Bahru,"Address: KSL City Mall, LG37 & LG45, LG Floor, Jalan Serigala, Taman Abad, 80250 Johor Bahru, Johor ","KFC KSL City Mall, Johor",3.8,(746),No status
Johor,Johor Bahru,"Address: 21, Jalan Molek 1/29, Taman Molek, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC Taman Molek,3.6,(631),Operating
Johor,Johor Bahru,"Address: LG-009 (Lower Ground Floor, Mid Valley Megamall, Jalan Bakar Batu, Southkey, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC MID VALLEY SOUTHKEY,3.2,(197),No status
Johor,Johor Bahru,"Address: 66, Jalan Perwira 1, Taman Ungku Tun Aminah, 81300 Skudai, Johor Darul Ta'zim ",KFC Tun Aminah,3.7,(772),Operating
Johor,Johor Bahru,"Address: PTB 17639-A, Jalan Kenyalang, Larkin Jaya, 80350 Johor Bahru, Johor Darul Ta'zim ",KFC Terminal Larkin DT,3.9,"(1,780)",Operating
Johor,Johor Bahru,"Address: 5, Persiaran Jaya 1, Mutiara Rini, 81000 Skudai, Johor Darul Ta'zim ",KFC Mutiara Rini DT,3.7,"(1,703)",Operating
Johor,Johor Bahru,"Address: 1, Jalan Bestari 1/5, Taman Nusa Bestari, 81300 Skudai, Johor Darul Ta'zim ",KFC Nusa Bestari,3.7,(875),Operating
Johor,Johor Bahru,"Address: 19, Jalan Sagu 7, Taman Daya, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC Taman Daya,3.6,(969),Operating
Johor,Johor Bahru,"Address: Lot 5035, Batu 17 1/2, Jalan Air Hitam, Saleng, 81400 Senai, Johor ",KFC Kulai DT,3.4,"(1,042)",Operating
Johor,Johor Bahru,"Address: Jalan Mutiara Emas Utama, Taman Austin Perdana, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC Shell Mount Austin DT,3.8,(985),Operating
Johor,Johor Bahru,"Address: Lot No. 4F51 & 52, Paradigm Mall, Skudai Hwy, 81200 Johor Bahru, Johor ",KFC Paradigm Mall,2.5,(251),No status
Johor,Johor Bahru,"Address: 59, Medan Nusa Perintis 6, Taman Nusa Perintis 2, 81550 Gelang Patah, Johor Darul Ta'zim ",KFC Nusa Perintis Gelang Patah,3.8,"(1,779)",No status
Johor,Johor Bahru,"Address: Ground & 1st Floor. 45 Jalan Susur Dewata 1, Jalan Dewata, Taman Larkin Perdana, 80350 Johor Bahru, Johor ",KFC Larkin,3.7,(608),Operating
Johor,Johor Bahru,"Address: Lot H.S (D) 23569, PTD 8797, Mukim Senai, Daerah Kulai Jaya, 81400 Johor Bahru, Johor ",KFC Petronas Senai Airport DT,3.6,(381),No status
Johor,Johor Bahru,"Address: Plaza Angsana, Lot L1.28a & L1.29, Skudai Hwy, Pusat Bandar Tampoi, 81200 Johor Bahru, Johor ",KFC Plaza Angsana,4.3,(348),No status
Johor,Johor Bahru,"Address: Lot No PTD 171205 Bandar Dato Onn Mukim, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC Petron Dato Onn DT,3.4,(625),No status
